validated_time_rate	validated_time_rate_1	highest_version_mean_validated	highest_version_mean_validated_1	time_consulting_help	time_consulting_help_1	mean_test_per_subject	mean_test_per_subject_1	mean_size_modification_per_test	mean_size_modification_per_test_1	mean_modification_per_subject	mean_modification_per_subject_1	mean_time_active	mean_time_active_1	experimentation_quality	experimentation_quality_1	validation_quality	validation_quality_1	score	score_1	SRL_Class_Low	SRL_Class_High	SRL_Class_predicted
Classe5	Classe2	Classe4	Classe3	Classe1	Classe1	Classe2	Classe6	Classe3	Classe3	Classe4	Classe4	Classe3	Classe3	Classe1	Classe5	Classe4	Classe3	High	Low	0.429494	0.570506	High
Classe1	Classe3	Classe1	Classe3	Classe4	Classe2	Classe2	Classe2	Classe2	Classe3	Classe3	Classe3	Classe4	Classe4	Classe3	Classe5	Classe1	Classe5	Low	Low	0.136747	0.863253	High
Classe4	Classe2	Classe3	Classe3	Classe4	Classe1	Classe2	Classe2	Classe3	Classe5	Classe3	Classe3	Classe4	Classe5	Classe3	Classe5	Classe4	Classe4	High	High	0.687005	0.312995	Low
Classe3	Classe2	Classe4	Classe3	Classe2	Classe3	Classe6	Classe4	Classe2	Classe2	Classe4	Classe4	Classe5	Classe5	Classe3	Classe5	Classe3	Classe3	Low	Low	0.464506	0.535494	High
Classe4	Classe1	Classe3	Classe1	Classe1	Classe2	Classe1	Classe6	Classe5	Classe1	Classe2	Classe5	Classe5	Classe4	Classe1	Classe1	Classe5	Classe3	Low	Low	0.763047	0.236953	Low
Classe1	Classe4	Classe1	Classe4	Classe5	Classe1	Classe5	Classe4	Classe2	Classe2	Classe4	Classe3	Classe5	Classe3	Classe4	Classe5	Classe3	Classe3	Low	Low	0.698662	0.301338	Low
Classe3	Classe2	Classe3	Classe4	Classe3	Classe1	Classe2	Classe3	Classe3	Classe3	Classe2	Classe3	Classe5	Classe5	Classe3	Classe5	Classe5	Classe4	Low	Low	0.206453	0.793547	High
Classe5	Classe1	Classe3	Classe1	Classe5	Classe1	Classe4	Classe1	Classe3	Classe1	Classe4	Classe1	Classe3	Classe1	Classe3	Classe1	Classe4	Classe1	High	Low	0.975429	0.0245707	Low
Classe3	Classe1	Classe3	Classe1	Classe1	Classe1	Classe2	Classe3	Classe5	Classe5	Classe3	Classe5	Classe4	Classe3	Classe3	Classe5	Classe4	Classe4	High	Low	0.643978	0.356022	Low
Classe1	Classe1	Classe1	Classe1	Classe4	Classe1	Classe6	Classe3	Classe3	Classe4	Classe5	Classe3	Classe5	Classe5	Classe4	Classe5	Classe4	Classe4	Low	Low	0.890743	0.109257	Low
Classe1	Classe1	Classe1	Classe1	Classe1	Classe1	Classe1	Classe1	Classe1	Classe1	Classe1	Classe1	Classe6	Classe6	Classe1	Classe1	Classe1	Classe1	Low	Low	0.959913	0.0400868	Low
Classe1	Classe2	Classe1	Classe3	Classe3	Classe1	Classe4	Classe4	Classe3	Classe3	Classe5	Classe4	Classe5	Classe4	Classe3	Classe5	Classe2	Classe4	Low	Low	0.250206	0.749794	High
Classe4	Classe2	Classe3	Classe3	Classe1	Classe1	Classe2	Classe3	Classe3	Classe4	Classe3	Classe5	Classe3	Classe3	Classe3	Classe5	Classe4	Classe4	High	High	0.43831	0.56169	High
Classe2	Classe1	Classe2	Classe1	Classe4	Classe1	Classe2	Classe1	Classe2	Classe1	Classe2	Classe1	Classe5	Classe6	Classe3	Classe1	Classe4	Classe1	Low	Low	0.967982	0.0320176	Low
Classe5	Classe3	Classe3	Classe2	Classe2	Classe3	Classe3	Classe3	Classe2	Classe2	Classe3	Classe4	Classe4	Classe4	Classe3	Classe5	Classe4	Classe4	High	High	0.236075	0.763925	High
Classe5	Classe2	Classe3	Classe2	Classe1	Classe1	Classe3	Classe2	Classe2	Classe2	Classe3	Classe3	Classe3	Classe4	Classe3	Classe4	Classe4	Classe4	High	High	0.463612	0.536388	High
Classe4	Classe3	Classe3	Classe2	Classe1	Classe3	Classe2	Classe3	Classe3	Classe1	Classe3	Classe3	Classe4	Classe4	Classe3	Classe5	Classe4	Classe4	High	High	0.496746	0.503254	High
Classe4	Classe2	Classe4	Classe3	Classe2	Classe1	Classe2	Classe3	Classe4	Classe5	Classe3	Classe5	Classe3	Classe3	Classe3	Classe1	Classe5	Classe3	High	High	0.592278	0.407722	Low
Classe4	Classe2	Classe3	Classe3	Classe1	Classe2	Classe4	Classe2	Classe2	Classe3	Classe4	Classe3	Classe3	Classe4	Classe3	Classe5	Classe4	Classe4	High	High	0.53911	0.46089	Low
Classe3	Classe3	Classe2	Classe3	Classe1	Classe1	Classe2	Classe2	Classe2	Classe3	Classe3	Classe3	Classe4	Classe4	Classe3	Classe5	Classe5	Classe4	High	High	0.371073	0.628927	High
Classe2	Classe1	Classe4	Classe1	Classe1	Classe1	Classe2	Classe5	Classe4	Classe3	Classe4	Classe5	Classe4	Classe4	Classe3	Classe1	Classe5	Classe3	Low	Low	0.835514	0.164486	Low
Classe5	Classe4	Classe3	Classe2	Classe2	Classe1	Classe2	Classe2	Classe5	Classe3	Classe3	Classe3	Classe4	Classe4	Classe3	Classe1	Classe4	Classe4	High	High	0.736503	0.263497	Low
Classe2	Classe1	Classe3	Classe1	Classe1	Classe1	Classe2	Classe6	Classe4	Classe3	Classe2	Classe5	Classe5	Classe3	Classe3	Classe5	Classe4	Classe3	High	Low	0.917677	0.0823234	Low
Classe2	Classe1	Classe3	Classe3	Classe2	Classe1	Classe2	Classe5	Classe4	Classe2	Classe3	Classe4	Classe4	Classe3	Classe3	Classe5	Classe5	Classe3	High	Low	0.869799	0.130201	Low
Classe2	Classe1	Classe2	Classe1	Classe3	Classe1	Classe3	Classe1	Classe1	Classe1	Classe2	Classe1	Classe5	Classe1	Classe3	Classe1	Classe5	Classe1	Low	Low	0.971027	0.0289729	Low
Classe5	Classe4	Classe4	Classe4	Classe1	Classe1	Classe1	Classe1	Classe5	Classe5	Classe3	Classe3	Classe3	Classe3	Classe1	Classe1	Classe5	Classe5	High	High	0.67332	0.32668	Low
Classe5	Classe1	Classe2	Classe2	Classe1	Classe1	Classe2	Classe4	Classe3	Classe2	Classe3	Classe4	Classe5	Classe5	Classe3	Classe5	Classe4	Classe4	Low	Low	0.780182	0.219818	Low
Classe4	Classe2	Classe3	Classe3	Classe1	Classe1	Classe1	Classe1	Classe5	Classe5	Classe3	Classe3	Classe5	Classe5	Classe1	Classe1	Classe5	Classe4	High	High	0.669442	0.330558	Low
Classe3	Classe1	Classe3	Classe1	Classe4	Classe1	Classe2	Classe1	Classe5	Classe1	Classe4	Classe1	Classe3	Classe6	Classe3	Classe1	Classe5	Classe1	Low	Low	0.977629	0.0223712	Low
