validated_time_rate	validated_time_rate_1	highest_version_mean_validated	highest_version_mean_validated_1	time_consulting_help	time_consulting_help_1	mean_test_per_subject	mean_test_per_subject_1	mean_size_modification_per_test	mean_size_modification_per_test_1	mean_modification_per_subject	mean_modification_per_subject_1	mean_time_active	mean_time_active_1	experimentation_quality	experimentation_quality_1	validation_quality	validation_quality_1	score	score_1	SRL_Class_Low	SRL_Class_High	SRL_Class_predicted
Classe5	Classe2	Classe4	Classe3	Classe1	Classe1	Classe2	Classe6	Classe3	Classe3	Classe4	Classe4	Classe3	Classe3	Classe1	Classe5	Classe4	Classe3	High	Low	0.0990439	0.900956	High
Classe1	Classe3	Classe1	Classe3	Classe4	Classe2	Classe2	Classe2	Classe2	Classe3	Classe3	Classe3	Classe4	Classe4	Classe3	Classe5	Classe1	Classe5	Low	Low	0.718441	0.281559	Low
Classe4	Classe2	Classe3	Classe3	Classe4	Classe1	Classe2	Classe2	Classe3	Classe5	Classe3	Classe3	Classe4	Classe5	Classe3	Classe5	Classe4	Classe4	High	High	0.369467	0.630533	High
Classe3	Classe2	Classe4	Classe3	Classe2	Classe3	Classe6	Classe4	Classe2	Classe2	Classe4	Classe4	Classe5	Classe5	Classe3	Classe5	Classe3	Classe3	Low	Low	0.600755	0.399245	Low
Classe4	Classe1	Classe3	Classe1	Classe1	Classe2	Classe1	Classe6	Classe5	Classe1	Classe2	Classe5	Classe5	Classe4	Classe1	Classe1	Classe5	Classe3	Low	Low	0.326815	0.673185	High
Classe1	Classe4	Classe1	Classe4	Classe5	Classe1	Classe5	Classe4	Classe2	Classe2	Classe4	Classe3	Classe5	Classe3	Classe4	Classe5	Classe3	Classe3	Low	Low	0.833683	0.166317	Low
Classe3	Classe2	Classe3	Classe4	Classe3	Classe1	Classe2	Classe3	Classe3	Classe3	Classe2	Classe3	Classe5	Classe5	Classe3	Classe5	Classe5	Classe4	Low	Low	0.598527	0.401473	Low
Classe5	Classe1	Classe3	Classe1	Classe5	Classe1	Classe4	Classe1	Classe3	Classe1	Classe4	Classe1	Classe3	Classe1	Classe3	Classe1	Classe4	Classe1	High	Low	0.206243	0.793757	High
Classe3	Classe1	Classe3	Classe1	Classe1	Classe1	Classe2	Classe3	Classe5	Classe5	Classe3	Classe5	Classe4	Classe3	Classe3	Classe5	Classe4	Classe4	High	Low	0.697483	0.302517	Low
Classe1	Classe1	Classe1	Classe1	Classe4	Classe1	Classe6	Classe3	Classe3	Classe4	Classe5	Classe3	Classe5	Classe5	Classe4	Classe5	Classe4	Classe4	Low	Low	0.872917	0.127083	Low
