validated_time_rate_1,validated_time_rate_2,highest_version_mean_validated_1,highest_version_mean_validated_2,time_consulting_help_1,time_consulting_help_2,mean_test_per_subject_1,mean_test_per_subject_2,mean_modification_per_subject_1,mean_modification_per_subject_2,mean_time_active_1,mean_time_active_2,experimentation_quality_1,experimentation_quality_2,validation_quality_1,validation_quality_2,score
[0.8<x<=1],[0<x<=0.2],[3<x<=4],[2<x<=3],[0<=x<=10] seconds,[0<=x<=10] seconds,[1<x<=5],[10<x<=20],[100<x<=200],[100<x<=200],[0.5<x<=1],[0.5<x<=1],[0<x<=0.2],[0.6<x<=0.8],[0.2<x<=0.4],[0<x<=0.2],[0<x<=133]
[0<x<=0.2],[0.2<x<=0.4],[0<=x<=1],[2<x<=3],[60<x<=300] seconds,[0<=x<=10] seconds,[1<x<=5],[1<x<=5],[20<x<=50],[50<x<=100],[0.5<x<=1],[0.5<x<=1],[0.2<x<=0.4],[0.6<x<=0.8],[0<x<=0.2],[0.4<x<=0.6],[0<x<=133]
[0.4<x<=0.6],[0<x<=0.2],[2<x<=3],[2<x<=3],[60<x<=300] seconds,[0<=x<=10] seconds,[1<x<=5],[1<x<=5],[20<x<=50],[20<x<=50],[0.5<x<=1],[1<x<=2],[0.2<x<=0.4],[0.6<x<=0.8],[0.2<x<=0.4],[0.2<x<=0.4],[0<x<=133]
[0.2<x<=0.4],[0<x<=0.2],[3<x<=4],[2<x<=3],[0<=x<=10] seconds,[10<x<=30] seconds,[10<x<=20],[5<x<=10],[100<x<=200],[50<x<=100],[1<x<=2],[1<x<=2],[0.2<x<=0.4],[0.8<x<=1],[0<x<=0.2],[0<x<=0.2],[0<x<=133]
[0.4<x<=0.6],[0<x<=0.2],[2<x<=3],[0<=x<=1],[0<=x<=10] seconds,[0<=x<=10] seconds,[0<x<=1],[20<x<=inf],[1<x<=20],[200<x<=inf],[2<x<=5],[0.5<x<=1],[0<x<=0.2],[0<x<=0.2],[0.4<x<=0.6],[0<x<=0.2],[0<x<=133]
[0<x<=0.2],[0.4<x<=0.6],[0<=x<=1],[3<x<=4],[60<x<=10000] seconds,[0<=x<=10] seconds,[10<x<=20],[5<x<=10],[100<x<=200],[50<x<=100],[1<x<=2],[0.5<x<=1],[0.4<x<=0.6],[0.6<x<=0.8],[0<x<=0.2],[0<x<=0.2],[0<x<=133]
[0.2<x<=0.4],[0<x<=0.2],[2<x<=3],[3<x<=4],[10<x<=30] seconds,[0<=x<=10] seconds,[1<x<=5],[5<x<=10],[20<x<=50],[20<x<=50],[1<x<=2],[1<x<=2],[0.2<x<=0.4],[0.6<x<=0.8],[0.4<x<=0.6],[0.2<x<=0.4],[0<x<=133]
[0.6<x<=0.8],[0<x<=0.2],[2<x<=3],[0<=x<=1],[60<x<=300] seconds,[0<=x<=10] seconds,[10<x<=20],[0=x],[50<x<=100],[0=x],[0<x<=0.5],[0=x],[0.2<x<=0.4],[0<x<=0.2],[0.2<x<=0.4],[0<x<=0.2],[0<x<=133]
[0.2<x<=0.4],[0<x<=0.2],[2<x<=3],[0<=x<=1],[0<=x<=10] seconds,[0<=x<=10] seconds,[1<x<=5],[5<x<=10],[20<x<=50],[100<x<=200],[0.5<x<=1],[0.5<x<=1],[0.2<x<=0.4],[0.6<x<=0.8],[0.2<x<=0.4],[0.2<x<=0.4],[0<x<=133]
[0<x<=0.2],[0<x<=0.2],[0<=x<=1],[0<=x<=1],[60<x<=300] seconds,[0<=x<=10] seconds,[20<x<=inf],[5<x<=10],[100<x<=200],[20<x<=50],[1<x<=2],[2<x<=5],[0.4<x<=0.6],[0.6<x<=0.8],[0.2<x<=0.4],[0.2<x<=0.4],[0<x<=133]
[0<x<=0.2],[0<x<=0.2],[0<=x<=1],[0<=x<=1],[0<=x<=10] seconds,[0<=x<=10] seconds,[0=x],[0=x],[0=x],[0=x],[15<x<=inf],[15<x<=inf],[0<x<=0.2],[0<x<=0.2],[0<x<=0.2],[0<x<=0.2],[0<x<=133]
