,validated_time_rate,validated_time_rate_1,highest_version_mean_validated,highest_version_mean_validated_1,time_consulting_help,time_consulting_help_1,mean_test_per_subject,mean_test_per_subject_1,mean_size_modification_per_test,mean_size_modification_per_test_1,mean_modification_per_subject,mean_modification_per_subject_1,mean_time_active,mean_time_active_1,experimentation_quality,experimentation_quality_1,validation_quality,validation_quality_1,score,score_1
191,0.8405555555555555,0.42527777777777775,3.5,3.5,0.0,0.0,3.25,11.0,296.2307692307692,207.75,71.75,117.5,0.52667,0.519947,0.0,0.0,0.27692307692307694,0.20116279069767426,70.0,70.0
225,0.0,0.33666666666666667,0.0,3.0,73.0,75.0,4.0,4.888888888888889,164.54166666666666,196.54545454545453,24.5,32.77777777777778,0.860975,0.847397,0.7,0.7,0.0,0.52,0.0,60.0
234,0.5144444444444445,0.3186111111111111,2.4,2.6,62.0,62.0,4.125,3.8,226.93939393939394,286.42105263157896,25.75,27.2,0.610504,0.934652,0.4166666666666667,0.4166666666666667,0.266,0.2714285714285714,120.0,130.0
240,0.2961111111111111,0.225,4.0,3.5,10.0,23.0,15.5,12.666666666666666,105.5,96.94736842105263,88.0,74.44444444444444,1.533905,1.521849,1.0,0.75,0.16018518518518493,0.14952380952380925,40.0,70.0
242,0.46555555555555556,0.24444444444444444,3.0,3.0,0.0,4.0,1.0,14.0,1788.0,129.89285714285714,2.0,87.5,4.162162,0.896052,0.0,0.0,0.5,0.12500000000000006,30.0,30.0
535,0.0,0.6358333333333334,0.0,3.5,328.0,434.0,14.0,12.0,106.07142857142857,95.11111111111111,98.0,59.0,1.238589,0.83202,1.0,0.9166666666666666,0.20833333333333334,0.14999999999999986,0.0,70.0
539,0.21333333333333335,0.8427777777777777,3.0,3.5,19.0,19.0,2.5,4.666666666666667,279.8,188.17857142857142,20.0,31.666666666666668,1.375864,1.184427,1.0,1.0,0.5833333333333334,0.288235294117647,30.0,70.0
540,0.7566666666666667,0.37833333333333335,3.0,3.0,134.0,134.0,10.5,10.5,273.2142857142857,273.2142857142857,65.75,65.75,0.490586,0.981718,0.8333333333333334,0.8333333333333334,0.25799999999999995,0.25799999999999995,60.0,60.0
553,0.35333333333333333,0.18,3.0,3.0,0.0,0.0,3.6666666666666665,5.0,851.8181818181819,656.475,31.333333333333332,68.875,0.958889,0.701248,0.0,0.0,0.37916666666666665,0.2925925925925925,60.0,60.0
559,0.0,0.0,0.0,0.0,67.0,67.0,23.0,30.0,203.08695652173913,221.16666666666666,130.0,170.0,1.09847,1.728846,1.0,1.0,0.27692307692307694,0.29000000000000004,0.0,0.0
